QueryName,ReleaseDate,RequiredAge,DLCCount,Metacritic,PackageCount,RecommendationCount,SteamSpyOwners,IsFree,FreeVerAvail,PurchaseAvail,SubscriptionAvail,CategorySinglePlayer,CategoryMultiplayer,CategoryCoop,CategoryMMO,CategoryInAppPurchase,CategoryIncludeLevelEditor,CategoryVRSupport,GenreIsNonGame,GenreIsIndie,GenreIsAction,GenreIsAdventure,GenreIsCasual,GenreIsStrategy,GenreIsRPG,GenreIsSimulation,GenreIsEarlyAccess,GenreIsFreeToPlay,GenreIsSports,GenreIsRacing,GenreIsMassivelyMultiplayer,PriceCurrency,PriceInitial,PriceFinal
Counter-Strike,Nov 1 2000,0,0,88,1,68991,13033334,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,9.99,9.99
Team Fortress Classic,Apr 1 1999,0,0,0,1,2439,5399140,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,4.99,4.99
Day of Defeat,May 1 2003,0,0,79,1,2319,7621102,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,4.99,4.99
Deathmatch Classic,Jun 1 2001,0,0,0,1,888,7498965,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,4.99,4.99
Half-Life: Opposing Force,Nov 1 1999,0,0,0,1,2934,5399499,False,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,4.99,4.99
Ricochet,Nov 1 2000,0,0,0,1,1965,7488563,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,4.99,4.99
Half-Life,Nov 8 1998,0,1,96,1,12486,5927504,False,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,9.99,9.99
Counter-Strike: Condition Zero,Mar 1 2004,0,0,65,1,7067,10489261,False,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,9.99,9.99
Counter-Strike: Condition Zero,Mar 1 2004,0,0,65,1,7067,10489261,False,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,9.99,9.99
Half-Life: Blue Shift,Jun 1 2001,0,0,71,1,2219,5368650,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,4.99,4.99
Half-Life 2,Nov 16 2004,0,1,96,2,35792,9901173,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,9.99,9.99
Counter-Strike: Source,Nov 1 2004,0,0,88,1,53931,15433570,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,19.99,19.99
Half-Life: Source,Jun 1 2004,0,0,0,1,2547,2983660,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,9.99,9.99
Day of Defeat: Source,Jul 12 2010,0,0,80,1,7185,6400269,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,9.99,9.99
Half-Life 2: Deathmatch,Nov 1 2004,0,0,0,2,4328,14001822,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,4.99,4.99
Half-Life 2: Lost Coast,Oct 27 2005,0,0,0,0,4352,14844765,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False, ,0.0,0.0
Half-Life Deathmatch: Source,May 1 2006,0,0,0,1,864,6796273,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,9.99,9.99
Half-Life 2: Episode One,Jun 1 2006,0,1,87,2,4437,6298399,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,7.99,7.99
Portal,Oct 10 2007,0,1,90,2,27535,9795716,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,9.99,9.99
Half-Life 2: Episode Two,Oct 10 2007,0,1,90,2,6104,5735062,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,7.99,7.99
Team Fortress 2,Oct 10 2007,0,0,92,1,383949,37878812,True,False,True,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False, ,0.0,0.0
Left 4 Dead,Nov 17 2008,0,0,89,2,9980,4473517,False,False,True,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,19.99,19.99
